country_name,year,People living with HIV (Children (ages 0-14) estimate),"Population ages 0-14, total",Count per 100k
Burma (Myanmar),2000,2213,14815960,14.9365954
Burma (Myanmar),2001,2732,14839693,18.41008436
Burma (Myanmar),2002,3307,14876183,22.23016482
Burma (Myanmar),2003,3906,14921307,26.17733152
Burma (Myanmar),2004,4507,14962565,30.12184074
Burma (Myanmar),2005,5088,14988056,33.94703089
Burma (Myanmar),2006,5604,15047680,37.2416213
Burma (Myanmar),2007,6044,15065369,40.11849959
Burma (Myanmar),2008,6418,15054922,42.63057623
Burma (Myanmar),2009,6760,15040647,44.94487504
Burma (Myanmar),2010,7068,15035832,47.00770799
Burma (Myanmar),2011,7445,14940620,49.83059605
Burma (Myanmar),2012,7709,14872454,51.83408199
Burma (Myanmar),2013,7993,14810859,53.96716018
Burma (Myanmar),2014,8163,14726723,55.42984682
Burma (Myanmar),2015,8327,14608721,57.00019872
Burma (Myanmar),2016,8362,14476086,57.76423268
Burma (Myanmar),2017,8445,14319926,58.97376844
Cambodia,2000,3247,5054260,64.24283674
Cambodia,2001,3645,5002960,72.85686873
Cambodia,2002,3986,4969597,80.20771101
Cambodia,2003,4273,4953096,86.26927481
Cambodia,2004,4514,4940043,91.37572284
Cambodia,2005,4722,4918732,96.00035131
Cambodia,2006,4898,4883399,100.2989926
Cambodia,2007,4989,4845560,102.9602358
Cambodia,2008,5082,4807233,105.7156997
Cambodia,2009,5120,4778850,107.1387468
Cambodia,2010,5063,4768616,106.1733635
Cambodia,2011,4934,4785956,103.0933005
Cambodia,2012,4749,4801701,98.90245144
Cambodia,2013,4515,4823638,93.60155136
Cambodia,2014,4223,4857654,86.93496902
Cambodia,2015,3922,4903908,79.97703056
Cambodia,2016,3635,4947954,73.46470885
Cambodia,2017,3348,5006240,66.87653808
Laos,2000,69,2311444,2.985146947
Laos,2001,97,2318692,4.183393051
Laos,2002,131,2323645,5.637694226
Laos,2003,170,2325329,7.31079344
Laos,2004,211,2322915,9.083414589
Laos,2005,254,2317128,10.96184587
Laos,2006,296,2307045,12.83026556
Laos,2007,343,2297274,14.93073965
Laos,2008,388,2287522,16.96158551
Laos,2009,433,2277479,19.01224995
Laos,2010,479,2266670,21.13232186
Laos,2011,521,2261699,23.03577974
Laos,2012,560,2254083,24.84380566
Laos,2013,594,2246732,26.43840031
Laos,2014,626,2243608,27.90148725
Laos,2015,648,2246562,28.84407374
Laos,2016,660,2248402,29.35418133
Laos,2017,672,2255296,29.79653225
Malaysia,2000,404,7737110,5.221587906
Malaysia,2001,437,7805424,5.598670873
Malaysia,2002,475,7835200,6.062385134
Malaysia,2003,510,7836862,6.507706784
Malaysia,2004,541,7826512,6.912402358
Malaysia,2005,567,7815209,7.255084285
Malaysia,2006,588,7840749,7.499283551
Malaysia,2007,603,7859794,7.671956797
Malaysia,2008,598,7869321,7.599130853
Malaysia,2009,589,7865804,7.488109289
Malaysia,2010,576,7852104,7.335613487
Malaysia,2011,560,7800918,7.178642309
Malaysia,2012,533,7757921,6.870397365
Malaysia,2013,511,7724138,6.615624941
Malaysia,2014,484,7696012,6.288971483
Malaysia,2015,439,7669676,5.723840225
Malaysia,2016,389,7678769,5.065916164
Malaysia,2017,347,7689014,4.512932347
Philippines,2000,33,30013304,0.10995124
Philippines,2001,40,30458408,0.131326627
Philippines,2002,49,30888954,0.158632759
Philippines,2003,60,31300760,0.191688636
Philippines,2004,73,31676882,0.230451974
Philippines,2005,90,31986181,0.281371509
Philippines,2006,108,32098104,0.336468472
Philippines,2007,128,32127802,0.39840883
Philippines,2008,148,32058479,0.461656337
Philippines,2009,172,31920683,0.538835588
Philippines,2010,197,31774678,0.619990547
Philippines,2011,224,31956232,0.700958736
Philippines,2012,253,32134120,0.787325124
Philippines,2013,286,32332411,0.884561315
Philippines,2014,322,32553178,0.989150737
Philippines,2015,385,32782349,1.174412486
Philippines,2016,448,33026298,1.356494755
Philippines,2017,514,33275563,1.544677095
Vietnam,2000,927,25416144,3.647288117
Vietnam,2001,1219,24822166,4.910933236
Vietnam,2002,1546,24342004,6.351161556
Vietnam,2003,1894,23912549,7.920527418
Vietnam,2004,2264,23439762,9.658801143
Vietnam,2005,2617,22896937,11.42947635
Vietnam,2006,2906,22498740,12.91627887
Vietnam,2007,3159,22022424,14.34446998
Vietnam,2008,3434,21538665,15.94342082
Vietnam,2009,3731,21161646,17.63095366
Vietnam,2010,4056,20948823,19.36146962
Vietnam,2011,4414,20908137,21.11139792
Vietnam,2012,4716,20986909,22.47115094
Vietnam,2013,5008,21166694,23.65981197
Vietnam,2014,5229,21388750,24.44743148
Vietnam,2015,5389,21609156,24.93850292
Vietnam,2016,5451,21823581,24.97756899
Vietnam,2017,5434,22032462,24.66360773
Thailand,2000,11795,15099952,78.11283109
Thailand,2001,12354,14858818,83.14254875
Thailand,2002,12775,14624563,87.35303749
Thailand,2003,12896,14394992,89.58671182
Thailand,2004,12815,14164467,90.47287131
Thailand,2005,12468,13931027,89.49806787
Thailand,2006,11968,13711929,87.28166548
Thailand,2007,11260,13500590,83.40376235
Thailand,2008,10539,13293496,79.2793709
Thailand,2009,9798,13092634,74.83597265
Thailand,2010,9043,12901887,70.09052242
Thailand,2011,8303,12833599,64.69736198
Thailand,2012,7484,12739756,58.74523813
Thailand,2013,6561,12624659,51.96972053
Thailand,2014,5671,12494848,45.38670658
Thailand,2015,4901,12352801,39.67521212
Thailand,2016,4114,12155617,33.84443587
Thailand,2017,3392,11956601,28.36926648
