health_zone,8/3/18,8/5/18,8/6/18,8/7/18,8/8/18,8/9/18,8/10/18,8/11/18,8/12/18,8/13/18,8/14/18,8/15/18,8/16/18,8/17/18,8/18/18,8/19/18,8/20/18,8/21/18,8/22/18,8/23/18,8/24/18,8/25/18,8/26/18,8/27/18,8/28/18,8/29/18,8/30/18,8/31/18,9/1/18,9/2/18,9/3/18,9/4/18,9/5/18,9/6/18,9/7/18,9/8/18,9/9/18,9/10/18,9/11/18,9/12/18,9/13/18,9/14/18,9/15/18,9/16/18,9/17/18,9/18/18,9/19/18,9/20/18,9/21/18,9/22/18,9/23/18,9/24/18,9/25/18,9/26/18,9/27/18,9/28/18,9/29/18,9/30/18,10/1/18,10/2/18,10/3/18,10/4/18,10/5/18,10/6/18,10/7/18,10/8/18,10/9/18,10/10/18,10/11/18,10/12/18,10/13/18,10/14/18,10/15/18,10/16/18,10/17/18,10/18/18,10/19/18,10/20/18,10/21/18,10/22/18,10/23/18,10/24/18,10/25/18,10/26/18,10/27/18,10/28/18,10/29/18,10/30/18,10/31/18,11/1/18,11/2/18,11/3/18,11/4/18,11/5/18,11/6/18,11/7/18,11/8/18,11/9/18,11/10/18,11/11/18,11/12/18,11/13/18,11/14/18,11/15/18,11/16/18,11/17/18,11/18/18,11/19/18,11/20/18,11/21/18,11/22/18,11/23/18,11/24/18,11/25/18,11/26/18,11/27/18,11/28/18,11/29/18,11/30/18,12/1/18,12/2/18,12/3/18,12/4/18,12/5/18,12/6/18,12/7/18,12/8/18,12/9/18,12/10/18,12/11/18,12/12/18,12/13/18,12/14/18,12/15/18,12/16/18,12/17/18,12/18/18,12/19/18,12/20/18,12/21/18,12/22/18,12/23/18,12/24/18,12/25/18,12/26/18,12/27/18,12/28/18,12/29/18,12/30/18,12/31/18,1/1/19,1/2/19,1/3/19,1/4/19,1/5/19,1/6/19,1/7/19,1/8/19,1/9/19,1/10/19,1/11/19,1/12/19,1/13/19,1/14/19,1/15/19,1/16/19,1/17/19,1/18/19,1/19/19,1/20/19,1/21/19,1/22/19,1/23/19,1/24/19,1/25/19,1/26/19,1/27/19,1/28/19,1/29/19,1/30/19,1/31/19,2/1/19,2/2/19,2/3/19,2/4/19,2/5/19,2/6/19,2/7/19,2/8/19,2/9/19,2/10/19,2/11/19,2/12/19,2/13/19,2/14/19,2/15/19,2/16/19,2/17/19,2/18/19,2/19/19,2/20/19,2/21/19,2/22/19,2/23/19,2/24/19,2/25/19,2/26/19,2/27/19,2/28/19,3/1/19,3/2/19,3/3/19,3/4/19,3/5/19,3/6/19,3/7/19,3/8/19,3/9/19,3/10/19,3/11/19,3/12/19,3/13/19,3/14/19,3/15/19,3/16/19,3/17/19,3/18/19,3/19/19,3/20/19,3/21/19,3/22/19,3/23/19,3/24/19,3/25/19,3/26/19,3/27/19,3/28/19,3/29/19,3/30/19,3/31/19,4/1/19,4/2/19,4/3/19,4/4/19,4/5/19,4/6/19,4/7/19,4/8/19,4/9/19,4/10/19,4/11/19,4/12/19,4/13/19,4/14/19,4/15/19,4/16/19,4/17/19,4/18/19,4/19/19,4/20/19,4/21/19,4/22/19,4/23/19,4/24/19,4/25/19,4/26/19,4/27/19,4/28/19,4/29/19,4/30/19,5/1/19,5/2/19,5/3/19,5/4/19,5/5/19,5/6/19,5/7/19,5/8/19,5/9/19,5/10/19,5/11/19,5/12/19,5/13/19,5/14/19,5/15/19,5/16/19,5/17/19,5/18/19,5/19/19,5/20/19,5/21/19,5/22/19,5/23/19,5/24/19,5/25/19,5/26/19,5/27/19,5/28/19,5/29/19,5/30/19,5/31/19,6/1/19,6/2/19,6/3/19,6/4/19,6/5/19,6/6/19,6/7/19,6/8/19,6/9/19,6/10/19,6/11/19,6/12/19,6/13/19,6/14/19,6/15/19,6/16/19,6/17/19,6/18/19,6/19/19,6/20/19,6/21/19,6/22/19,6/23/19,6/24/19,6/25/19,6/26/19,6/27/19,6/28/19,6/29/19,6/30/19,7/1/19,7/2/19,7/3/19,7/4/19,7/5/19,7/6/19,7/7/19,7/8/19,7/9/19,7/10/19,7/11/19,7/12/19,7/13/19,7/14/19,7/15/19,7/16/19,7/17/19,7/18/19,7/19/19,7/20/19,7/21/19,7/30/19,7/31/19
Alimbongo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Ariwara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Beni,0,0,1,1,1,2,2,2,2,2,2,4,3,3,3,3,4,4,4,6,6,7,8,8,10,10,10,10,11,12,15,16,17,17,18,18,19,19,19,19,20,21,23,23,23,23,23,24,24,24,24,25,25,25,26,26,28,29,29,29,29,29,30,34,35,38,42,45,49,49,51,55,55,58,60,63,67,68,70,72,74,76,77,80,81,84,85,87,88,88,88,91,91,92,92,92,95,97,99,100,,,,93,95,95,95,96,97,98,101,101,103,104,105,106,107,109,112,112,115,116,116,116,117,112,112,112,114,120,119,120,121,122,122,124,125,128,129,130,130,131,131,132,133,133,134,134,134,135,137,138,138,139,139,139,140,140,140,140,140,141,141,141,141,141,142,142,143,144,145,146,146,146,146,146,146,146,146,146,146,146,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,128,128,128,128,129,129,128,128,128,128,128,128,130,131,132,132,132,132,132,132,135,137,139,137,138,138,141,143,144,144,144,144,144,144,144,146,146,146,146,146,146,146,146,147,148,151,151,153,152,152,154,156,154,159,160,160,161,160,160,162,165,167,172,173,174,176,177,180,180,181,183,184,184,184,186,187,187,190,190,191,191,191,192,193,193,193,194,194,194,198,199,203,203,203,208,212,215,217,218,220,227,234,237,243,244,245,246,252,259,262,265,268,270,273,279,281,283,283,287,292,296,302,316,319,321,327,333,337,372,377
Biena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,9,9,9,9,11,7,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,13,14,14,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Bunia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Butembo,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,10,11,12,13,14,14,15,15,16,17,18,18,19,20,20,22,22,24,26,,,,6,6,6,7,7,7,9,10,12,14,15,15,15,16,16,17,19,20,21,18,20,19,14,15,15,16,16,15,15,15,16,16,17,18,20,22,24,24,26,26,26,27,27,26,26,26,26,26,27,27,28,26,27,30,30,30,31,31,33,34,35,36,36,36,36,38,36,38,39,41,41,42,44,44,45,46,47,50,51,53,54,54,55,56,57,59,60,60,61,61,63,63,63,64,65,30,30,30,32,35,39,39,40,41,41,41,41,42,43,43,44,47,49,49,53,53,54,54,56,56,56,57,58,59,61,62,67,69,72,74,75,76,80,82,84,86,87,90,92,94,96,100,100,102,104,105,107,109,111,114,116,120,123,125,127,128,132,133,137,138,141,141,145,150,152,156,160,164,166,169,172,174,175,176,176,176,179,180,183,187,190,192,198,204,210,213,215,221,224,225,231,232,233,233,236,239,243,243,246,248,249,249,253,254,255,255,257,258,259,259,259,260,261,261,263,263,265,267,268,270,270,272,272,274,276,276,276,280,282,284,285,287,287,289,289,290,290,290,290,290,291,290,290,293,293,295,295,295,295,300,300
Goma,,,,,0,,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Kalunguta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,,,,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,24,24,24,24,24,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,37,37,37,37,37,37,38,38,41,41,41,41,41,41,41,41,42,43,47,47,51,53,54,55,55,55,55,56,57,57,59,59,60,60,61,61,61,61,61,62,63,63,63,63,63,63,64,64,64,64,64,64,64,65,65,65,65,65,66,66,66,67,67,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
Katwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,16,17,17,17,17,17,19,20,21,21,21,22,23,23,23,23,25,29,29,31,37,37,38,38,40,43,43,44,44,46,46,48,48,49,49,49,50,51,52,51,52,53,53,53,54,54,54,55,56,58,60,61,62,63,63,62,62,64,68,72,73,76,78,78,81,88,90,91,94,97,97,97,98,101,103,103,103,105,105,106,107,109,117,118,121,124,125,126,128,132,134,134,136,173,174,176,179,180,182,184,184,185,186,188,190,191,192,192,192,193,193,193,193,193,193,193,193,193,194,195,198,199,200,201,201,201,201,203,205,207,207,210,211,215,216,217,218,218,220,223,227,231,236,242,250,256,271,275,282,284,291,293,301,302,304,306,307,309,310,317,323,328,340,345,350,353,357,360,362,367,368,370,370,374,375,376,376,378,380,382,385,387,388,389,389,392,392,394,398,400,400,401,402,403,403,403,407,408,410,411,411,411,412,412,415,416,417,417,417,417,417,418,420,421,421,424,424,424,424,425,427,427,429,429,429,430,431,433,434,434,434,436,438,439,439,439,439,439,440,441,441,444,445,446,447,447,447,449,450
Kayna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
