Water Source,Region,Percent
Piped water into dwelling,Country,0.4
Piped water into yard or plot,Country,15.7
"Piped water, public tap or standpipe",Country,12
Piped water kiosk or retailer,Country,1.9
Tube well or borehole,Country,13.9
Protected dug well,Country,4.6
Protected spring,Country,14.3
Rain water,Country,1.1
Bottled water,Country,0.4
Tanker truck or cart with small tank,Country,1.3
Total improved,Country,66
Unprotected dug well,Country,3
Unprotected spring,Country,20.1
Surface water,Country,9.9
Other,Country,1.1
Total unimproved,Country,34
Piped water into dwelling,Tigray,
Piped water into yard or plot,Tigray,20.8
"Piped water, public tap or standpipe",Tigray,5.5
Piped water kiosk or retailer,Tigray,
Tube well or borehole,Tigray,29.2
Protected dug well,Tigray,6.9
Protected spring,Tigray,
Rain water,Tigray,
Bottled water,Tigray,
Tanker truck or cart with small tank,Tigray,
Total improved,Tigray,72.1
Unprotected dug well,Tigray,5.7
Unprotected spring,Tigray,11.2
Surface water,Tigray,11
Other,Tigray,
Total unimproved,Tigray,27.9
Piped water into dwelling,Amhara,
Piped water into yard or plot,Amhara,12.4
"Piped water, public tap or standpipe",Amhara,4.7
Piped water kiosk or retailer,Amhara,2
Tube well or borehole,Amhara,19.3
Protected dug well,Amhara,4
Protected spring,Amhara,16.9
Rain water,Amhara,
Bottled water,Amhara,
Tanker truck or cart with small tank,Amhara,
Total improved,Amhara,61.7
Unprotected dug well,Amhara,
Unprotected spring,Amhara,25.1
Surface water,Amhara,10.8
Other,Amhara,
Total unimproved,Amhara,38.3
Piped water into dwelling,Oromia,
Piped water into yard or plot,Oromia,12.2
"Piped water, public tap or standpipe",Oromia,16.3
Piped water kiosk or retailer,Oromia,1.8
Tube well or borehole,Oromia,10.9
Protected dug well,Oromia,6.6
Protected spring,Oromia,13.8
Rain water,Oromia,
Bottled water,Oromia,
Tanker truck or cart with small tank,Oromia,
Total improved,Oromia,66
Unprotected dug well,Oromia,2.4
Unprotected spring,Oromia,21.4
Surface water,Oromia,8.8
Other,Oromia,
Total unimproved,Oromia,34
Piped water into dwelling,SNNP,
Piped water into yard or plot,SNNP,12.8
"Piped water, public tap or standpipe",SNNP,15.3
Piped water kiosk or retailer,SNNP,
Tube well or borehole,SNNP,13.4
Protected dug well,SNNP,
Protected spring,SNNP,20.1
Rain water,SNNP,
Bottled water,SNNP,
Tanker truck or cart with small tank,SNNP,
Total improved,SNNP,65.9
Unprotected dug well,SNNP,
Unprotected spring,SNNP,22.2
Surface water,SNNP,10.3
Other,SNNP,
Total unimproved,SNNP,34
Piped water into dwelling,Addis Ababa,
Piped water into yard or plot,Addis Ababa,87.4
"Piped water, public tap or standpipe",Addis Ababa,5.3
Piped water kiosk or retailer,Addis Ababa,
Tube well or borehole,Addis Ababa,
Protected dug well,Addis Ababa,
Protected spring,Addis Ababa,
Rain water,Addis Ababa,
Bottled water,Addis Ababa,
Tanker truck or cart with small tank,Addis Ababa,
Total improved,Addis Ababa,100
Unprotected dug well,Addis Ababa,
Unprotected spring,Addis Ababa,
Surface water,Addis Ababa,
Other,Addis Ababa,
Total unimproved,Addis Ababa,
Piped water into dwelling,Others,
Piped water into yard or plot,Others,12.4
"Piped water, public tap or standpipe",Others,18.4
Piped water kiosk or retailer,Others,
Tube well or borehole,Others,7.5
Protected dug well,Others,4.2
Protected spring,Others,4.7
Rain water,Others,
Bottled water,Others,
Tanker truck or cart with small tank,Others,2.2
Total improved,Others,55.4
Unprotected dug well,Others,13.5
Unprotected spring,Others,5.4
Surface water,Others,17
Other,Others,8.6
Total unimproved,Others,44.6
